clause_text,label
"['in the event that any bachem intellectual property is incorporated into any<omitted>deliverable (including magenta developed intellectual property (including product)) or is otherwise necessary to fully exploit such deliverable, bachem hereby grants to magenta a perpetual, irrevocable, nonexclusive, worldwide, paid up, royalty-free license under such bachem intellectual property (with the full right to sublicense directly or indirectly through multiple tiers) to (i) copy, distribute, display, perform and create derivative works of the bachem intellectual property, in whole or in part; and (ii) to use bachem intellectual property and/or practice the subject matter thereof, in each case solely in connection with manufacturing, marketing, promoting, using, selling, offering for sale, importing or distributing such deliverable (e.g., product). without limiting the foregoing, magenta may use and disclose bachem intellectual property to the extent necessary in']",Irrevocable Or Perpetual License
"['in such case: (i) tph-a or tph, as the case may be, shall acquire sole and exclusive title to the gan equipment, free and clear of all encumbrances, and none of fsl, afsl or the company shall have any right, title or interest in such gan equipment, (ii) such gan equipment shall be clearly labeled as the property of tph-a or tph, as the case may be, and (iii) fsl and afsl shall cause to be assigned to tph-a or tph, as the case may be, all licenses and warranties for such gan equipment and the software or firmware required to operate such gan equipment that are attached to, installed on, or embodied in such gan equipment as of the effective date.']",Ip Ownership Assignment
"['each party will have the right to engage an independent third party to audit the books and records of the other party relevant to the calculation of retail impressions or cnet sales, upon reasonable notice and during normal business hours, and the other party will provide reasonable cooperation in connection with any such audit.']",Audit Rights
['the agreement may be terminated by both parties with a notification period of *** before the end of the initial term of the agreement.'],Termination For Convenience
"['each of smbc/nikko and moelis holdings agrees, during the term of this agreement (except pursuant to this agreement) and for a period of 12 months thereafter, not to solicit any client introduced by the other party in connection with an assignment on covered<omitted>businesses involving japanese companies where all principal parties involved are located within covered regions']",No-Solicit Of Customers
"['upon expiration of this agreement with respect to a product in a country, the licenses granted to aimmune pursuant to this agreement shall continue in full force and effect on a fully-paid basis.', 'upon the termination of this agreement:\n\n14.1.1 all rights and licenses granted to aimmune hereunder shall immediately terminate and be of no further force and effect and aimmune shall cease developing, commercializing, manufacturing and packaging and labeling such product in and for all applicable countries; provided, that aimmune and its affiliates will be entitled, during the period<omitted>ending on the last day of the [***] following the effective date of such termination, to sell any inventory of product affected by such termination that remains on hand as of the effective date of the termination, so long as aimmune pays to xencor all amounts payable hereunder (including milestones) applicable to said subsequent sales, as applicable, in accordance with the terms and conditions set forth in this agreement and otherwise complies with the terms set forth in this agreement.']",Post-Termination Services
"[""neither party may assign or transfer this agreement or any rights or obligations hereunder without the prior written consent of the other party, except that a party may make such an assignment without the other party's consent to its affiliates or to a third party successor of, or transferee to, assets of such party to which this agreement relates, whether in a merger, sale of stock, sale of assets or other transaction."", 'except for the subcontractors appointed by mmt as of the effective date as listed on exhibit a attached hereto, mmt may not grant sublicenses of the rights and licenses granted to it in section 2.1(a) to any affiliate (including pfizer or any affiliate of pfizer) or third party without the prior written approval of siga (such approval not to be unreasonably withheld).', 'any assignment or attempted assignment by either party in violation of the terms of this section 13.5 is null, void and of no legal effect.']",Anti-Assignment
"['except in the event of a breach of section 11, neither party shall be liable for special, incidental or consequential damages or lost profits (however arising, including negligence) arising out of or in connection with this agreement, even if the parties are aware of the possibility of such damages.']",Cap On Liability
"['at least three (3) persons actively involved in the management and operation of the franchised restaurant must successfully complete the training program.', 'you will, on an annual basis, participate in a minimum of fifty percent (50%) of the promotional programs introduced by us from time to time.', 'at the time of opening you must have a minimum of fifty thousand dollars ($50,000) in immediately accessible working capital funds to be used solely to defray the costs of operating the restaurant for the initial several months.']",Minimum Commitment
"['during the term of this agreement, if msl decides to sell a substantial portion of its assets or operations outside the ordinary course of its business, or to merge or transfer ownership of msl to a third party, msl will immediately notify ibm.']",Change Of Control
['neither party shall delegate the performance of its duties under this agreement without the prior written consent of the other party.'],Anti-Assignment
"['the fleet size, in respect of maintenance charges calculations shall only be allowed to exceed this range following either a revision of schedule one agreed by sev and dcl or on the first day of a dcl financial year.', 'notwithstanding any other term of this agreement, dcl shall within a period of five months of the commencement date reduce the number of mgv and lgv vehicles in respect of which sev is to provide maintenance services to a maximum of 52 vehicles;<omitted>so as to enable sev to undertake appropriate redundancy consultation and selection processes with those transferring employees involved in the maintenance of such mgv and lgv vehicles and where appropriate to effect the dismissal of those transferring employees on the ground of redundancy.', 'any cdv, sgv, mgv or lgv, reported monthly by sev as described in clause 2.7.3 and operating in excess of 25,000 miles per annum shall be subject to an additional charge, calculated on a pro-rata basis, levied annually on the first day of each dcl financial year']",Volume Restriction
"['in addition, iso shall provide written notice to servicers within three (3) business days of any change of control of iso.', 'servicers may terminate this agreement prior to its expiration for cause upon prior written notice to iso as follows:<omitted>(l) upon a change of control of iso with one hundred eighty (180) days prior written notice to iso, unless the servicers had previously consented to such change in control.']",Change Of Control
"['dr. murray will receive an annual royalty on net sales (defined as gross sales minus returns) for any products (the ""dr. murray products"") developed by dr. murray for ehn for as long as the dr. murray products are being sold']",Revenue/Profit Sharing
"['during the term of this agreement, xencor hereby grants to bii and bii hereby accepts for the purpose of pursuing the project a non-exclusive, non-sub-licensable (except to affiliated companies), royalty-free, license to use the xencor confidential information and know-how, the material, the xencor intellectual property and/or any part of the other improvements for the sole purpose to develop the process, and for the manufacturing of the product for clinical purposes in accordance with this agreement.']",Non-Transferable License
"['any and all claims and actions arising out of or relating to this agreement, the relationship between you and us, or your operation of the restaurant, brought by any party hereto against the other, must be commenced within one (1) year from the occurrence of the facts giving rise to such claim or action, or, it is expressly acknowledged and agreed by all parties, such claim or action will be irrevocably barred.', 'each of us waives any right to or claim of punitive, exemplary, multiple, or consequential damages against the other in litigation and agrees to be limited to the recovery of actual damages sustained.']",Cap On Liability
"['inktomi will grant to microsoft an irrevocable, non-exclusive, royalty-free license to use the product (and all required underlying inktomi technology) solely in connection with microsoft\'s operation of the microsoft search engine (which license shall include the right to create enhancements and other derivative works based thereon for use in conjunction therewith) for such period as microsoft may require to transition its search engine services to non-inktomi technology (the ""transition period""), and inktomi will waive all royalties otherwise payable pursuant to the software development agreement and/or the information services agreement between the parties of even date herewith; for the purposes of this clause (iv), the transition period will commence at such time as microsoft assumes control over said separate cluster and begins itself operating the microsoft search engine, and will continue thereafter for eighteen months (18) or until the<omitted>termination of the software development agreement and information services agreement (whichever is longer);']",License Grant
"['in the event that hdi fails to have the site fully operational within seventy (70) days from the date of this agreement, the company shall have the right to terminate this agreement without penalty.']",Minimum Commitment
"['subject to the terms and conditions of this agreement, siga hereby grants to mmt an exclusive right and license, with the right to grant sublicenses as permitted under section 2.1(b), under the siga intellectual property solely to promote the product in the field in the territory.']",License Grant
"[""joint venture company's total cumulative liability to the loop parties with respect to a transferred contract, in all circumstances and regardless of the theory of recovery, shall be limited to the amount of actual, direct, and documented damages the applicable authorized customer actually recovers from the loop parties under the transferred contract based solely on joint venture company's breach of such transferred contract."", 'in no event will either party be liable to the other under this agreement or otherwise for consequential, special, incidental, exemplary, statutory, or punitive damages arising out of or related to this agreement.']",Cap On Liability
"[""either party may terminate this agreement by giving the other party thirty (30) days' prior written notice.""]",Termination For Convenience
['neither this agreement nor any of the rights of any of the parties under this agreement shall be assigned without thewritten consent of all the parties.'],Anti-Assignment
"[""subject to the terms and conditions of this agreement, the company hereby grants to allscripts and its affiliates a non- exclusive, royalty-free, irrevocable [***] non-transferable (except in accordance with section 28.4), sublicensable (through multiple levels of sublicensees), fully paid-up right and license under all of the company's intellectual property to, throughout the territory, access, use, reproduce, perform, display, modify, create derivative works of, transmit, demonstrate, test, operate, port, configure, distribute, and make available the installed software and subscription software services"", 'subject to the terms and conditions of this agreement, the company hereby grants to allscripts and its affiliates a non-exclusive, royalty- free, irrevocable [***] non-transferable (except in accordance with section 28.4), sublicensable (through multiple levels of sublicensees), fully paid- up right and license under all of the company\'s intellectual property to use the company\'s brands, trademarks, product and service names, logos and slogans (the ""company marks""), throughout the territory, solely in connection with the marketing, selling, or provision of the installed software and the subscription software services and merchant processing services permitted hereunder or to otherwise fulfill the terms of this agreement. [***].', ""subject to the terms and conditions of this agreement, allscripts hereby grants to the company a non-exclusive, royalty-free, irrevocable [***] non-transferable (except in accordance with section 28.4), fully paid-up right and license under all of allscripts' intellectual property to use the allscripts marks, throughout the territory, solely in connection with providing the installed software and subscription software services to sublicensed customers who have signed a customer agreement and to otherwise fulfill the terms of this agreement."", ""subject to the terms and conditions of this agreement, the company hereby grants to allscripts a non-exclusive, royalty-free, irrevocable , non-transferable (except in accordance with section 28.4), sublicensable (through multiple levels of sublicensees), fully paid-up right and license under all of the company's intellectual property to access, use, reproduce, perform, display, transmit, demonstrate, test, operate, port, configure, distribute, and make derivative works of the documentation, company marketing materials and allscripts marketing materials, in whole or in part, throughout the territory, for any purpose consistent with section 8.1, [***].""]",Non-Transferable License
"[""the parties intend that any and all goodwill in the brand arising from licensee's or any applicable sublicensees' permitted activity shall inure solely to the benefit of licensor."", 'notwithstanding the foregoing, in the event that licensee or any sublicensee is deemed to own any rights in the brand, licensee hereby irrevocably assigns (or shall cause such sublicensees to assign), without further consideration, such rights to licensor together with all goodwill associated therewith.']",Ip Ownership Assignment
"['insurance policies purchased to comply with this article seven will be kept in force for at least […***…] after the last sale of licensed product.', 'the insurance will include coverage for product liability with a minimum of […***…] dollars ($[…***…]) per occurrence and [… ***…] dollars ($[…***…]) annual aggregate, coverage for contractual liability, clinical trials liability if any such trial is performed, bodily injury and property damage, including completed operations, personal injury, coverage for contractual employees, blanket contractual and products, and all other coverages standard for such policies.', 'the insurance will identify university indemnitees as additional insureds and will provide that the carrier will notify university in writing at least […***…] prior to cancellation, non-renewal, or material change in coverage. should artara fail to obtain replacement insurance providing comparable coverage within such […***…] period, university will have the right to termination this agreement effective as of the end of the […***…] period without notice or any additional cure period.', ""at university's request, such request to be made no more than annually, artara will provide university with a certificate of insurance and notices of subsequent renewals for its insurance and that of affiliates extended rights under this agreement and of sublicensees."", 'such insurance will additionally include errors and omissions insurance with a minimum of […***…] dollars ($[…***…]) per occurrence.', 'artara, affiliates, and sublicensees will obtain and maintain commercial general liability insurance with a reputable and financially secure insurance carrier prior to clinical testing, making, using, importing, offering to sell, or selling any licensed product or engaging in any other act involving any licensed product or the patent rights, if such act could possibly create risk of a claim against university indemnitees for personal injury or property damage.']",Insurance
"['each party acknowledges and agrees that during the term, it shall maintain, through purchase or self- insurance, adequate insurance, including products liability coverage and comprehensive general liability insurance, adequate to cover its obligations under this agreement and which are consistent with normal business practices of prudent companies similarly situated.']",Insurance
"['termination or expiration of this agreement if by reason of material breach by co-host shall not affect any of co-host\'s payment obligations, all of which survive termination of this agreement; provided that, in (i) the event of termination of this agreement by co-host due to a material default by nai, nai shall pay to the co-host the liquidated damages amount (as defined in part 2 of exhibit ""a', '""liquidated damages amount"" shall mean the difference between (i) the aggregate amount of the co-hosting fee paid by co-host (the ""aggregate fee"") and (ii) the aggregate fee multiplied by a number the numerator of which shall be the actual aggregate revenue through the effective date of termination of the agreement and the denominator of which shall be the aggregate of the minimum revenue targets through the effective date of the termination.']",Liquidated Damages
"['if requested, [***] shall arrange for any insurance desired by [***] on shipments of product, in amounts that [***] shall determine, and naming [***].']",Insurance
"['at the written request of customer, given at least 100 days prior to expiration of the term of the agreement, m&i shall continue to provide customer all services at the rates set forth in this agreement, for a maximum period of six (6) months.', 'as part of the termination assistance, m&i shall assist customer to develop a plan for the transition of all data processing services from m&i to customer or its designee on a reasonable schedule developed by customer.', 'commencing six (6) months prior to the expiration of the term of this agreement, or upon any termination of this agreement for any reason, m&i shall provide customer, at customer\'s expense, all necessary assistance to allow the services to continue without interruption or adverse affect to customer and to facilitate the orderly transition of services to customer or its designee (""termination assistance"").']",Post-Termination Services
"[""accordingly, (i) with respect to remainco's right and interest in and to the shared library materials, remainco, for itself and as representative of all other members of the remainco group, hereby grants to spinco (x) a perpetual (subject to section 4.4), irrevocable, exclusive, royalty-free, worldwide right and license with the right to grant sublicenses (solely as set forth in section 5.6) to use the shared library materials, including all know-how and copyrights embodied therein, for any purpose in the spinco core field and (y) a perpetual (subject to section 4.4), irrevocable, non-exclusive, royalty-free, worldwide right and license with the right to grant sublicenses (solely as set forth in section 5.6) to use the shared library materials, including all know-how and copyrights embodied therein, for any purpose in any field other than the remainco core field or the spinco core field and (ii) with respect to spinco's right and interest in and to the shared library materials, spinco, for itself and as representative of all other members of the spinco group, hereby grants to remainco (x) a perpetual (subject to section 4.4), irrevocable, exclusive, royalty-free, worldwide right and license with the right to grant sublicenses (solely as set forth in section 5.6) to use the shared library materials, including all know-how and copyrights embodied therein, for any purpose in the remainco core field and (y) a perpetual (subject to section 4.4), irrevocable, non- exclusive, royalty-free, worldwide right and license with the right to grant sublicenses (solely as set forth in section 5.6) to use the shared library materials, including all know-how and copyrights embodied therein, for any purpose in any field other than the spinco core field or the remainco core field."", ""accordingly, (i) with respect to remainco's right and interest in and to the foundational software, remainco, for itself and as representative of all other members of the remainco group, hereby grants to spinco (x) a perpetual, irrevocable, exclusive, royalty-free, worldwide right and license to use the foundational software, including any intellectual property embodied therein, for the continued operation of the spinco business and any future extensions of the spinco business in the spinco core field and (y) a perpetual, irrevocable, non-exclusive, royalty-free, worldwide right and license to use the foundational software, including any intellectual property embodied therein, for the continued operation of the spinco business and any future extensions of the spinco business in any field other than the spinco core field or the remainco core field; and (ii) with respect to spinco's right and interest in and to the foundational software, spinco, for itself and as representative of all other members<omitted>of the spinco group, hereby grants to remainco (x) a perpetual, irrevocable, exclusive, royalty-free, worldwide right and license to use the foundational software, including any intellectual property embodied therein, for the continued operation of the remainco business and any future extensions of the remainco business in the remainco core field and (y) a perpetual, irrevocable, non-exclusive, royalty-free, worldwide right and license to use the foundational software, including any intellectual property embodied therein, for the continued operation of the remainco business and any future extensions of the remainco business in any field other than the spinco core field or the remainco core field. the foregoing licenses includes the right to reproduce, prepare derivative works, distribute, perform and otherwise exploit such foundational software and to use the foundational software to design, develop, manufacture, have manufactured, sell and support products and services."", 'spinco shall have the sole right to use the title steam/its generation and use to publish future editions of the steam book.', 'spinco, for itself and as representative of all other members of the spinco group, hereby grants to remainco (x) a perpetual, irrevocable, exclusive, royalty-free, worldwide right and license with the right to grant sublicenses (solely as set forth in section 5.6) to use the spinco know- how currently or previously used in connection with the remainco business or otherwise in the possession of remainco or any member of the remainco group as of distribution date (the ""licensed spinco know-how""), for the continued operation of the remainco business and any future extensions of the remainco business in the remainco core field and (y) a perpetual, irrevocable, non-exclusive, royalty-free, worldwide right and license with the right to grant sublicenses (solely as set forth in section 5.6) to use the licensed spinco know-how for the continued operation of the remainco business and any future extensions of the remainco business in any field other than the remainco core field or the spinco core field; provided, however, the foregoing licenses shall not extend to (i) spinco know-how<omitted>licensed by spinco or any other member of the spinco group if and to the extent the licensing of same to remainco would constitute a breach of an agreement with any third party executed prior to the effective date or result in any expense to spinco or any member of the spinco group for payments to such third party or (ii) any intellectual property not owned by one or more members of the spinco group, or as to which no member of the spinco group has the right to grant sublicenses, as of the effective date.', 'remainco, for itself and as representative of all other members of the remainco group, hereby grants to spinco (x) a perpetual, irrevocable, exclusive, royalty-free, worldwide right and license with the right to grant sublicenses (solely as set forth in section 5.6) to use the remainco know-how currently or previously used in connection with the spinco business or otherwise in the possession of spinco or any member of the spinco group as of the distribution date (the ""licensed remainco know-how""), for the continued operation of the spinco business and any future extensions of the spinco business in the spinco core field and (y) a perpetual, irrevocable, non-exclusive, royalty-free, worldwide right and license with the right to grant sublicenses (solely as set forth in section 5.6) to use the licensed remainco know-how for the continued operation of the spinco business and any future extensions of the spinco business in any field other than the remainco core field or the spinco core field; provided, however, the foregoing licenses shall not extend to (i) remainco know-how licensed by remainco or any other member of the remainco group if and to the extent the licensing of same to spinco would constitute a breach of an agreement with any third party executed prior to the effective date or result in any expense to remainco or any member of the remainco group for payments to such third party or (ii) any intellectual property not owned by one or more members of the remainco group, or as to which no member of the remainco group has the right to grant sublicenses, as of the effective date.']",Exclusivity
"['subject to clause 15.2 below, the repairer, shall not be liable to the company for any of the following types of loss or damage arising under or in relation to this agreement (whether arising for breach of contract, tort (including negligence), breach of statutory duty, misrepresentation or otherwise):\n\n[*****]\n\n[*****]']",Cap On Liability
"['[***] shall designate up to [***] ([***]) bli employees or personnel as key persons (individually, a ""key person"" and collectively, ""key persons"").', 'bli shall allocate beacon optofluidic machines (including related hardware and software), consumables and services in short supply to ginkgo [***], with such [***] allocation applicable only up to the number of units of such item set forth in the binding portions of the then-current rolling forecast.', 'bli shall not be obligated to supply in any [***] (i) a quantity of the [***] in excess of the amount designated in such [***] in the binding portion of the rolling forecast or (ii) a quantity of [***] that is greater than [***] percent ([***]%) of the amount designated for such item or service in such [***] in the binding portion of the rolling forecast (such amount, the ""maximum amount""); provided that notwithstanding the provisions set forth in this section 5.3.1 (issuance) or section 5.3.2 (acceptance and rejection) to the contrary, bli shall use [***] to accept and fulfill purchase orders for quantities of [***] in excess of the maximum amount in any [***].']",Volume Restriction
"['the consultant agrees that if, in the course of performing the services, the consultant incorporates into any invention developed under this agreement any preexisting invention, improvement, development, concept, discovery or other proprietary information owned by the consultant or in which the consultant has an interest (""prior inventions""), (i) the consultant will inform the company, in writing before incorporating such prior inventions into any invention, and (ii) the company is hereby granted a nonexclusive, royalty-free, perpetual, irrevocable, transferable worldwide license with the right to grant and authorize sublicenses, to make, have made, modify, use, import, offer for sale, sell, reproduce, distribute, modify, adapt, prepare derivative works of, display, perform, and otherwise exploit such prior inventions, without restriction, including, without limitation, as part of or in connection with such invention, and to practice any method related thereto.']",Irrevocable Or Perpetual License
"['in addition to the license fee payable in accordance with section 5.1, licensee shall pay a royalty (""royalty"") to licensor according to the following schedule (""royalty schedule""): subscribers royalty payable as percentage of gross revenue 0 - 5000 6.25% 5001 - 7500 6.75% 7501 - 10,000 7.00% 10,001 - 15,000 8.00% 15,001 - 20,000 8.50% 20,001 - 25,000 9.25% 25,001+ 9.75%']",Revenue/Profit Sharing
"['if government regulations prevent impresse from sharing any revenues associated with impresse services, verticalnet and impresse shall negotiate in good faith a compensation structure that seeks to provide verticalnet with compensation equal to that set forth in section 4.6 [revenue sharing].', 'impresse shall pay verticalnet [*]of impresse verticalnet revenue accruing during the term of this agreement, payable to verticalnet on or before the thirtieth day of the calendar quarter immediately following the quarter in which such revenue was collected by impresse.']",Revenue/Profit Sharing
['financial reimbursements claimed according to such indemnification shall not exceed payments received by ontochem under this contract.'],Cap On Liability
"[""the engagement letter shall provide that the bank may terminate its engagement at any time upon not less than 45 days' prior written notice to the other parties."", 'notwithstanding the foregoing, this oma may be terminated with or without cause at any time after the effective date and without liability or continuing obligation by any of the parties hereto (i) by mutual written agreement of all of the parties; and (ii) in writing by the trust advisors in their sole discretion.']",Termination For Convenience
"[""subject to clauses 9.1 and 9.2, each party's total liability under or in connection with this agreement (whether in contract, tort or otherwise) arising in any contract year is limited to the greater of:\n\n (a) [ * ] euros ([ * ] euros); and\n\n (b) [ * ]% of the total payment due to the distributor in the relevant contract year pursuant to clause 4 (payment terms)."", ""nothing in this agreement shall exclude or limit either party's liability under clause 10 (indemnities), or distributor's liability under clause 2 (license grants and restrictions), clause 3.5 (exclusivity), clause 3.6 (end user license agreement) and clause 3.7 (accurate reproduction) or clause [ * ]."", 'subject to clauses 9.1 and 9.2, neither party shall be liable under this agreement (whether in contract, tort or otherwise) for any:\n\n (a) loss of anticipated savings;\n\n (b) loss of business opportunity (which for the avoidance of doubt shall not include loss of advertising revenue);\n\n (c) loss of or corruption of data;\n\n (d) loss or damage resulting from third party claims; or\n\n (e) indirect or consequential losses;\n suffered or incurred by the other party (whether or not such losses were within the contemplation of the parties at the date of this agreement).', ""nothing in this agreement shall exclude or limit either party's liability for:\n\n (a) death or personal injury resulting from the negligence of either party or their servants, agents or employees;\n\n (b) fraud or fraudulent misrepresentation;<omitted>(c) breach of any implied condition as to title or quiet enjoyment; and\n\n (d) misuse of confidential information.""]",Uncapped Liability
"['neither adams golf nor consultant shall have the right to grant sublicenses hereunder or to assign, alienate or otherwise transfer any of its rights or obligations hereunder.']",Anti-Assignment
"[""mkos agrees that for a twenty four months (24) following the execution of this agreement, mkos shall not, without utek's prior written consent, directly or indirectly solicit for employment any present employee of utek, or request, induce or advise any employee of utek to leave the employ of utek"", 'in turn, utek agrees that it will not directly or indirectly solicit any present employee of mkos.']",No-Solicit Of Employees
"['the auditing party shall bear the full cost of such audit unless such audit reveals an underpayment by the audited party that resulted from a discrepancy in the financial report provided by the audited party for the audited period, which underpayment was more than [***] percent of the amount set forth in such report, in which case the audited party shall reimburse the auditing party for the costs for such audit.', 'upon reasonable prior notice of the other party, but in any event at least [***] prior notice, each party shall and shall cause its affiliates and its and their sublicensees to permit an independent auditor of international prominence, selected by the auditing party and reasonably acceptable to the audited party, to audit the books and records maintained pursuant to section 9.8 for the sole purpose of verifying for the auditing party the accuracy of the financial reports furnished by the audited party pursuant to this agreement or of any payments made, or required to be made, by or to the audited party pursuant to this agreement or any ancillary agreement. such audit shall not occur more than [***] in a given calendar year, unless for cause, and shall not concern books and records relating to a period more than [***] preceding the current calendar year.', 'in addition, sanofi shall have the right to conduct customary reviews and audits of revmed and its affiliates and subcontractors (provided that, with respect to permitted contractors or researchers that<omitted>revmed entered into a written agreements with prior to the effective date, such right of sanofi shall be to the extent revmed has the right to permit sanofi to do so under such written agreements, and provided further, that revmed shall use commercially reasonable efforts to secure such right for sanofi where one does not exist).']",Audit Rights
"['subject to the terms and conditions set forth herein, world book hereby grants to hswi, a perpetual, irrevocable limited license to use, copy, store, archive, distribute, transmit, modify (subject to section 2.1(iv)), and display the content, images and affinities in whole or', 'the term of the license for the content delivered to hswi as part of the affinities, and the affinities themselves, shall be perpetual, exclusive, and irrevocable.', 'the term of the license for the images delivered to hswi as part of the affinity, shall be perpetual and irrevocable.']",Irrevocable Or Perpetual License
"['offsets and/or repayment of the advanced royalty payment shall commence on [**] and shall continue, unless sooner paid, through [**] (the ""royalty offset period"") and such offsets will be taken by ekr (and such repayment will be made by ppi) as follows:<omitted>(iii) upon any change of control (as defined in section 20.4) of ppi, by repayment to ekr in full of the balance of the advanced royalty payment not previously used for offsets, which payment shall be made to ekr by ppi within ten (10) days after the closing date (without any conditions) of any such change of control.', 'should there be a change of control of either party resulting in the control of such party by a third party which markets or sells a competing product in any part of the territory, then the rights under this agreement may not be assigned without the express consent of the other party which consent shall not be unreasonably withheld. ""change of control"" shall mean (a) the sale, lease, exchange, license or disposition of all or substantially all of the party\'s assets in one transaction or series of related transactions or (b) a merger or consolidation with an unaffiliated third party as a result of which the holders of the party\'s issued and outstanding voting securities immediately before such transaction own or control less than a majority of the voting securities of the continuing or surviving entity immediately after such transaction.', 'either party shall be entitled forthwith to terminate this agreement by notice to the other if:<omitted>(i) the other party ceases or threatens to cease to carry on the whole or any material part of its business;']",Change Of Control
"['each policy of insurance which schoolpop is required to possess under this agreement shall name aeis, and its directors, officers, and employees, as additional insured in the insurance policy limits herein required.', ""schoolpop shall, during the term of this agreement, at its own cost and expense, procure with sound and reputable insurers, the following insurance coverage's: (i) workers' compensation insurance in an amount not less than the statutory limits for the state(s), country or province in where the services are to be performed; (ii) employer's liability insurance not less than (a) $100,000 per occurrence, and not less than $100,000 aggregate limit of liability per policy year for disease, including death at any time resulting therefrom, not caused by accident or (b) such amount as required by law, whichever is higher; (iii) comprehensive general liability insurance, including blanket extended coverage against all hazards, including personal injury and death resulting therefrom, for not less than $1,000,000 per occurrence, and not less than $2,000,000 aggregate; (iv) automobile liability insurance against liability arising from the maintenance or use of all owned, non-owned and hired automobiles and trucks used to provide services, with (a) a minimum limit of liability for bodily injury of $1,000,000 in the aggregate, and with a minimum limit of liability for property damage of $500,000 per accident, or (b) amount as required by law, whichever is higher; and (v) fidelity or crime policy of not less than $3,000,000 in the aggregate against misappropriation and/or destruction of cards.""]",Insurance
"['accuray hereby grants distributor or customer a nonexclusive, non-transferable, royalty-free right to use the software provided in connection with the products only in machine readable form and only in combination with the products with which such software is provided.', 'accuray hereby grants to customers of products a non-exclusive, non-transferable and royalty-free license under any patents owned by accuray or the licensing of which is controlled by accuray that, but for this license, would be infringed by the use of such products in accordance with the applicable specification.']",License Grant
"['member hereby acknowledges and agrees that franchisor is an intended third-party beneficiary of this agreement with the right to enforce it, independently or jointly with franchisee.', 'such covenants must be on a form that we provide, which form will, among other things, designate us as a third party beneficiary of such covenants with the independent right to enforce them.', 'franchisor, along with its successors and assigns, is an intended third party beneficiary of the provisions of this addendum.']",Third Party Beneficiary
"[""this license expressly prohibits any pass-through rights or the use of the hof entity marks by any third party, except (x) to constellation's subsidiaries and brands for use in a manner consistent with clauses (i) through (iii) hereof or (y) with the express written consent of the hof entities (or the appropriate hof entity).""]",Affiliate License-Licensee
['neither this agreement nor the rights of either party hereunder shall be assigned by either party without the prior written consent of the other party.'],Anti-Assignment
"['member covenants and agrees that during the term of the franchise agreement, except as otherwise approved in writing by franchisor, member shall not, either directly or indirectly, for itself, or through, on behalf of, or in conjunction with any person, persons, partnership, corporation, or entity:<omitted>(ii) divert or attempt to divert any business or customer, or potential business or customer, to any competitive business;']",No-Solicit Of Customers
"['inktomi, and inktomi hereby irrevocably assigns to microsoft an [*] interest therein.']",Ip Ownership Assignment
['accurate and complete books of account of the transactions of the venture will be kept in accordance with generally accepted accounting principles (gaap) and at all reasonable times will be available and open to inspection and examination by any member.'],Audit Rights
"['in addition, cht may terminate this agreement and the rights granted hereunder, in whole or in part, and without prejudice to enforcement of any other legal right or remedy (including any express termination right set forth elsewhere in this agreement), at any time without cause, by providing at least thirty (30) business days prior written notice to ehave, but subject to payment of a termination fee equal to an amount set out in schedule 6.']",Termination For Convenience
"['individual grants lifeway together with its affiliates, subsidiaries, parent companies and their representatives and employees have an unlimited, perpetual, non-exclusive, worldwide and, except as set forth in section 9, royalty-free, right to use, reuse, publish, reproduce, perform, copy, create derivative works, exhibit, broadcast, and display throughout the world the name, image and likeness of individual in marketing materials (as defined below) in connection with marketing, advertising or otherwise promoting the lifeway products and/or services and for historical reference and display purposes and other internal purposes, including without limitation, internal sales meetings.']",Unlimited/All-You-Can-Eat-License
