clause_text,label
"[""upon the expiration of the term or termination of this supply agreement, in its entirety or with respect to one or more products, this supply agreement shall, except as otherwise provided in this section 10.3 or section 10.5, be of no further force or effect; provided, however, that (a) in the event this supply agreement is terminated by sutrovax pursuant to section 10.2.3 and there are outstanding work orders or other purchase orders accepted by sutro that would not be fulfilled as a result of such termination, sutrovax shall reimburse sutro for all supplies and materials purchased by sutro and time incurred by sutro personnel (to the extent incurred solely for manufacture of product for sutrovax) for the manufacture, or preparation for the manufacture, of products for any work orders placed by sutrovax and any other purchase orders accepted by sutro prior to such expiration or termination, in each case to the extent sutro cannot otherwise reasonably mitigate such the costs and expenses of such supplies, materials and time (e.g., by use of resulting supplies, materials and work-in-progress product for other purposes); provided that to the extent sutrovax pays for any supplies or materials, upon sutrovax's request sutro shall promptly transfer and deliver such supplies and materials to sutrovax; and (b) if this supply agreement is terminated with respect to one or more products, but not all products, then this supply agreement shall continue in full force and effect with respect to the applicable product(s) for which it is not terminated.""]",Post-Termination Services
"[""distributor shall not be liable for any losses or damages incurred by vendor as a result of distributor's failure to meet its obligations under section 5.1 of this agreement."", 'neither party shall be liable to the other for lost profits or indirect, special consequential or punitive damages of any kind arising in connection with the manufacture, sale and distribution of the products, even if such party has been advised of the possibility of such damages.']",Cap On Liability
"['except for breaches or violations of article 9, or indemnity liabilities arising under this article 8, or cases of gross negligence or willful misconduct, in no event shall either party be liable to the other for any consequential, indirect, special, incidental or punitive damages including loss of use, revenues or profits, interruption of business or claims against either party or its customers by any third party, whether such claim is based in contract, tort (including negligence), strict liability or otherwise, even if the party is advised of the possibility of such damages.']",Cap On Liability
"['the parties acknowledge and agree that title to and risk of loss of all prefilled syringes shall at all times belong to and remain in amag; provided that, subject to the limitations on liability set forth in this section 2.2(b), in the event of loss or damage of any prefilled syringes while they are at the manufacturing site, antares shall be only responsible for the replacement costs (as evidenced by amag invoices) of such prefilled syringes if the damage, loss, theft or destruction was caused by the negligent act or omission or the willful misconduct of antares or its subcontractor.']",Cap On Liability
"['the agent covenants and agrees that during the noncompetition period, the agent will not, nor will it permit any affiliate to, directly or indirectly, own, manage, operate or control, or participate in the ownership, management, operation or control of, or be connected with or have any interest in, as a shareholder, partner, creditor or otherwise, any competitive business; provided, however, this section 6.13(c) shall not apply to those actions of the agent or any affiliate (i) to the extent such actions are expressly contemplated by this agreement, for such term of this agreement; (ii) to the extent such actions relate to the products listed on exhibit d hereto in the countries listed therein, the products that the agent either owns, has contracted to purchase or entered into a letter of intent with respect to as of the effective date and such additional products as the parties may from time to time agree (the ""permitted products""); (iii) to the extent that the agent\'s interest in a competitive business, as a shareholder, partner, creditor or otherwise, is equal to or less than 5%; or (iv) to any separate agreement with monsanto with respect to transgenic technology sharing.', 'except as provided for in section 3.8, monsanto covenants and agrees that for the noncompetition period, monsanto will not, nor will it permit any affiliate to, directly or indirectly, own, manage, operate or control, or participate in the ownership, management, operation or control of, or be connected with or have any interest in, as a shareholder, partner, creditor or otherwise, any ""competitive business.""', ""a competitive business shall be any business which, anywhere within the included markets, (x) manufactures, sells, markets or<omitted>distributes any non-selective weed control product, whether residual or non-residual, for lawn and garden use or (y) competes with the roundup l&g business; provided, however, this section 6.13(b) shall not apply to those actions of monsanto or any affiliate (i) to the extent such actions are expressly contemplated by this agreement, for the duration of this agreement, (ii) to the extent that immediately upon termination of this agreement for whatever reason monsanto or any affiliates or successor to the roundup l&g business shall continue to operate the roundup l&g business without infringing this covenant, or (iii) to the extent that monsanto's interest in a competitive business, as a shareholder, partner, creditor or otherwise, is equal to or less than 5%."", ""in the event of a termination of this agreement by monsanto pursuant to section 10.4(a)(2) hereof, or by the agent pursuant to section 10.6(c)(1) hereof, then notwithstanding the provisions of section 6.13 hereof, either party may, no earlier than three (3) years prior to the expiration of the noncompetition period, commence non- commercial activities (including formulation development, regulatory registrations, packaging and delivery systems development, and advertising and promotional material development and any other activities not prohibited by section 6.13 of this agreement during the noncompetition period, but excluding consumer-facing efforts or communications) for the sole purpose of such party's preparation to launch any competing product upon expiration of the noncompetition period; and provided, that either party may, no earlier than twelve (12) months prior to the expiration of the noncompetition period, engage with retail customers for the sole purpose of selling-in competing products (provided that no product may be shipped to a retail customer or distributor prior to the end of the noncompetition period).""]",Non-Compete
"[""upon commercially reasonable notice (to be provided not less than [...***...] days in advance) and during miltenyi's normal business hours, but not more often than once every [...***...] months, except for cause, during the term of this agreement, bellicum or bellicum's licensees duly authorized agents, representatives or designees may inspect those portions of miltenyi's facilities that are used to manufacture, store or conduct testing of miltenyi products to determine compliance with agreed standards, applicable laws and the applicable quality agreement."", 'if bellicum or or bellicum\'s licensees conduct a facility audit or inspection more than [...***...] in a [...***...] month period, and such additional audits are not ""for cause"" audits, then bellicum and its licensees (as applicable) shall reimburse miltenyi for all reasonable out-of-pocket expenses reasonably incurred by miltenyi as a direct result of facility audits and/or inspections pursuant to sections 9.1and 9.3 solely to the extent that they relate to the review of a bellicum produc', 'all audits shall be conducted in a manner that is intended to minimize disruption to the operations at such facilities.']",Audit Rights
"[""integrity recognizes tl's title to the tl trademarks and will not at any time do or suffer to be done any act or thing which will in any way impair tl's rights in and to the tl trademarks."", ""tl recognizes integrity's title to the integrity trademarks and will not at any time do or suffer to be done any act or thing which will in any way impair integrity's rights in and to the integrity trademarks.""]",Covenant Not To Sue
"[""in the event that the company's total adjusted capital for each of the company's first and third fiscal quarters (as determined based on the company's first and third fiscal quarterly filed statutory financial statements, respectively, subject to any adjustments or modifications thereto required by the domiciliary state's insurance department or the company's independent auditors) falls below the specified minimum percentage of the company's projected company action level rbc (in each case as estimated by the company as of the end of each such first and third fiscal quarters, as the case may be, taking into account (for purposes of such estimation) facts and circumstances occurring after the end of such fiscal quarter but before such time as aig would be obligated pursuant to paragraph 3 to make a contribution), aig shall, within the respective time periods set forth under paragraph 3, in accordance with paragraph 4 and in compliance with applicable law, provide to the company cash, cash equivalents, securities or other\n\n\n\n\n\n\n\n instruments that qualify (as admitted assets) for purposes of calculating the company's total adjusted capital, as a contribution and not as a loan, in an amount such that the company's total adjusted capital as of the end of each of the company's second and fourth fiscal quarter, as the case may be, will be projected to be at least equal to the specified minimum percentage of the company's company action level rbc."", 'the term ""specified minimum percentage"" shall be equal to the percentage set forth on schedule 1 attached hereto, which shall be agreed to by aig and the company at least once every year beginning upon the date of the filing of the company\'s 2014 annual statement with the domiciliary state\'s insurance department and following review against the capital adequacy standards and criteria (""agency criteria"") of each of standard & poor\'s corp. (""s&p""), moody\'s investors service (""moody\'s"") and a.m. best company (""a.m. best"").<omitted>the specified minimum percentage shall equal 385% of the company\'s company action level rbc.']",Minimum Commitment
['this agreement may not be assigned in whole or in part by either party without prior written consent of the other.'],Anti-Assignment
"['if third party franchisees are operating the smaaash centres, then the franchisee shall be entitled to receive, (i) 5% (five percent) of the capital expenditure as agreed among the parties for the particular smaaash centre as sign -on fees or upfront advance, and (ii) 5% (five percent) fee or commission of the revenue generated by such third party franchisees from the smaash centres on an annual basis.']",Revenue/Profit Sharing
"['during the term of this agreement, and subject to the terms and conditions hereof, staar hereby grants to distributor, and distributor hereby accepts, the limited, nontransferable, nonexclusive right and license to use the trade name, trademarks, and logos of staar (collectively, ""trademarks""), without the right to grant sublicenses, solely in connection with the marketing, distribution and sale of the products in the territory pursuant to this agreement.']",License Grant
"['in the event of termination or expiration of this agreement for other than a material breach of this agreement by sponsor, upon notice from sponsor delivered to snap at least forty-five (45) days prior to such expiration or termination, snap shall negotiate in good faith an agreement providing sponsor with sponsorship rights similar to those described herein on terms and conditions to be mutually agreed upon by the parties. in the event that an agreement<omitted>between the parties is not executed within thirty (30) days following delivery, of such notice to snap, snap shall be free thereafter to enter into an such an agreement with any third party.']",Rofr/Rofo/Rofn
"[""the company will compensate consultant at the rate of $400 per hour (19 hours cap monthly; anything over these hrs must be preapproved by management), payable in accordance with the company's standard payroll schedule, and subject to withholding as legally required.""]",Volume Restriction
"[""in no event (including, but not limited to, smith's default hereunder) shall smith be liable to tda (or any entity claiming through tda) for any amount in excess of the amounts actually received by smith hereunder, excluding the reimbursement of expenses."", 'under no circumstances will smith be liable to tda or any other entity for any special, consequential, indirect, exemplary and/or punitive damages, or for loss of good will or business profits.']",Cap On Liability
"[""lucid agrees that the distributor may use the appropriate trademarks to promote the sale of products in the territory. such use is only with lucid's permission and must be related to the sale of lucid products.""]",License Grant
"['in consideration of the payments, through the issuance of securities to ajr as provided for in section 3 hereof, ajr agrees to designate xc as an associate sponsor and the ""exclusive technology sponsor"" for wearable computer technology"" of the team for the season and grants to xc the rights and benefits of such sponsorship as more fully set forth herein.']",Exclusivity
"['fg shall have access to and the right to use for any purpose, any data developed by or on behalf of astellas or its affiliates or sublicensees in the course of the development program with respect to indications within the field for lead compounds.']",Affiliate License-Licensor
"['for clarity, energous shall not intentionally supply products, product die or comparable products or product die to customers directly or through distribution channels.']",No-Solicit Of Customers
"['such warranty shall commence upon shipment to the end user.', 'distributor shall provide to its resellers, [*****] all warranty service for a minimum<omitted>of the warranty period set forth in the published product warranty provided with the original product.', 'during the cisco warranty period, distributor may return failed product to cisco for replacement.', ""warranty service will consist of software and hardware replacement service as follows:\n\n3.3.1 software service. distributor will use reasonable efforts to provide work\u200b around solutions or implement a cisco-provided patch. distributor will use reasonable effort to make latest release of all cisco software available to its resellers.\n\n3.3.2 hardware advance replacement. distributor will ship replacement parts and/or product to its resellers in accordance with cisco's then- current published product warranty applicable to the particular product.\n\n3.4 returns coordination. distributor will comply with the following: 3.4.1 distributor shall coordinate the return of all failed parts and/or product, freight and insurance prepaid, to the cisco repair center specified by cisco.\n\n3.4.2 distributor shall comply with the following rma procedure: 3.4.2.1 distributor will ensure all products are properly packaged prior to being shipped, and will include a written description of the failure and specification of any changes or alterations made to the product. product returned to cisco will conform in quantity and serial number to the rma request.\n\n3.4.2.2 distributor shall tag each product returned with the rma transaction number and a brief description of the problem.\n\n3.4.2.3 cisco will not accept any product returned which is not accompanied by an rma number.\n\n3.4.3 title and risk of loss to failed product and parts transfers to cisco upon delivery to the cisco repair center specified by cisco.\n\n3.5 reseller support. distributor will ensure reseller has all appropriate support as follows: 3.5.1 distributor shall provide competent technical support staff to support the product so as to ensure that the reseller is able to provide the necessary support to the end user reseller.\n\n3.5.2 reseller frontline support. distributor will use best efforts to ensure that its resellers provide high quality front-line support.\n\n3.5.3 [*****] cisco is not responsible for any claims arising from failure by distributor's resellers to provide this support.\n\n3.5.4 resale of cisco brand services. where available, distributor will offer for purchase by its resellers, all appropriate cisco brand support products through its normal products availability process."", 'in addition to the written limited warranty provided by cisco with its products, such warranty statement shall apply to distributor during the period between when it receives a product and when it resells or redistributes such product,']",Warranty Duration
"['any purported assignment or transfer, by operation of law or otherwise, not having the prior written consent of airsopure shall be null and void and shall constitute a material breach of this agreement.']",Anti-Assignment
"['the foregoing obligations of wildform, following the initial 30 day period, shall be limited to a maximum of twenty (20) hours, or up to a maximum of one hundred twenty five (125) emails, whichever accumulates first.', 'the foregoing obligations of wildform, following the initial thirty (30) day period, shall be limited to a maximum of thirty (30) hours, or up to a maximum of two hundred (200) emails, whichever accumulates first.', 'the foregoing obligations of wildform, shall be limited to a maximum of forty (40) hours, or up to a maximum of two hundred twenty (220) emails, whichever accumulates first.', 'the foregoing obligations of wildform shall be limited to a maximum of forty (40) hours, or up to a maximum of two hundred twenty (220) emails, whichever accumulates first.', 'the foregoing obligations of wildform shall be limited to a maximum of forty five (45) hours, or up to a maximum of three hundred (300) emails, whichever accumulates first.']",Volume Restriction
"['in the event that network terminates this agreement as to a particular station or several stations, or in its entirety pursuant to sections 10(a) or (c), affiliate shall, within thirty (30) days of termination, at its option either reimburse network for the cost of all equipment or return such equipment related to such station(s) that was paid for by network pursuant to section 5(b) herein.']",Post-Termination Services
"['provider may not assign, delegate or otherwise transfer either this agreement or any of its rights, interests, or obligations hereunder without the prior written approval of recipient.']",Anti-Assignment
"['although we will not seek to operate or grant others the right to operate a the joint corp. location within the same general area as the premises, we make no guarantee of any protected territory.']",Exclusivity
"['in the event that qualigen elects not to prosecute or maintain in a particular applicable market country any patent rights in the jointly developed development ip (the ""abandoned joint ip""), sekisui may elect to prosecute such abandoned joint ip in such particular applicable market country, in which case the patent rights for such abandoned joint ip in such particular in applicable market country shall be owned solely by sekisui.', 'in the event that any development ip is jointly invented by the parties in accordance with applicable intellectual property laws, then the ownership of such development ip that has been jointly invented shall be co-owned by the parties in accordance with such applicable intellectual property laws; provided, however, that neither party shall have any duty or obligation to account to the other for any use or exploitation of such jointly invented development ip and as between the parties, each party shall be entitled to retain any and all benefit, financial or otherwise, derived by such party from such jointly invented development ip.']",Joint Ip Ownership
"['on request of buyer, buyer is allowed to carry out on-site manufacturing and quality audits in manufacturing units where products are produced.', 'the frequency of such audits shall not exceed one audit per site within three years']",Audit Rights
"['during the term, neither vertex nor any affiliate of vertex may sell any product to any customers for their use as bunker fuel other than pursuant to the terms of this jsma.', 'it is agreed that only bunker one will be marketing this jsma and the jsma output towards various customers, but if a party receives a nomination (being a written or oral request by/from a customer to a party stating delivery place, delivery date and window etc.) or any other communication from a customer regarding the supply of product (either spot or whole cargo) in the area, the party is obliged to forward the nomination to bunker one and refer the customer to bunker one.', 'all sales towards customers for bunker fuel will be carried out exclusively by bunker one in accordance to the terms set forth herein.', 'all sales towards customers for bunker fuel will be carried out exclusively by bunker one in accordance to the terms set forth herein. as such all communication with customers shall go via bunker one unless otherwise is specific written agreed in advance.']",Exclusivity
"['subject to section 12.2, neither party shall assign its rights or obligations hereunder, in whole or in part, except with the prior written consent of the other party, except to a party acquiring all of the business of the assigning party to which this agreement relates.']",Anti-Assignment
"['spinrecords.com hereby ------------------------------------------- grants nettaxi a nonexclusive, worldwide, nontransferable, revocable, royalty free license to display and distribute the, and make derivative works from the spinrecords.com brand features and any enhancements, modifications or improvements thereto as necessary to carry out the terms of this agreement.', 'nettaxi hereby grants to ----------------------------------------- spinrecords.com a non-exclusive, worldwide, nontransferable, revocable, royalty free license to use the nettaxi brand features as the same may be modified from time to time for the purposes of this agreement']",License Grant
"['the rights of developer under this agreement shall immediately cease and be terminated upon the sale or transfer of all or substantially all of the assets of developer unless an assignment of such rights pursuant to such sale or transfer has been previously approved in writing by dss.', 'the rights of developer under this agreement shall immediately cease and be terminated upon the sale or transfer of no less than a majority of, or a controlling interest in or over, the voting capital or ownership capital of developer unless an assignment of such rights pursuant to such sale or transfer has been previously approved in writing by dss.', 'developer may not assign or transfer this agreement, nor its rights and obligations hereunder, by operation of law or otherwise, to any third party without the prior express written approval of dss. any purported assignment without the consent of dss shall be void.']",Anti-Assignment
"['during the term of this agreement, sabco will not ----------- represent or accept as a primary, secondary, or associate sponsor any other company reasonably deemed to be competitive with prolong products.']",Exclusivity
"[""network hereby grants affiliate during the term a royalty-free, fully paid up, non-transferable, non-exclusive license to use the marks (as defined in section 8(e)) in any advertising and promotional materials undertaken in connection with affiliate's transmission of the service, provided that such use complies with the terms and conditions of section 8(e)."", 'network hereby grants to affiliate the exclusive right via broadcast television, and affiliate hereby accepts such exclusive right and the obligation during the term to broadcast the service via broadcast television (i) over the transmission facilities of each station identified on exhibit a, which is licensed by the fcc to serve the community for each such station (the ""licensed community""), for receipt by tv households in the dma in which the licensed community is located, as such dma is identified on exhibit a, and (ii) over the transmission facilities of any acquired station, except to the extent that, as of the date affiliate notifies network in writing of its binding agreement to acquire such acquired station, (a) another broadcast television station in the same dma as the acquired station has exclusive rights to broadcast the service, or (b) the acquired station is obligated to broadcast other material that precludes it from also carrying the service.']",License Grant
"['if, during any quarter of the contract year, shipper deliveries on the pipeline exceed the applicable quarterly volume commitment requirements, shipper shall be permitted to apply prepaid transportation credits against any amount due from shipper and payable to mpl with respect to the transportation of volumes on the pipeline for such quarter.', 'the amount of expansion capacity available for volume commitments pursuant to this section 6.6 shall not exceed ninety percent (90%) of the total expansion capacity.']",Volume Restriction
"[""notwithstanding the foregoing, (a) either party may, without the other party's consent, assign this agreement and its rights and obligations hereunder in whole or in part to an affiliate; and (b) dova may assign this agreement to a successor in interest in connection with the sale or other transfer of all or substantially all of dova's assets or rights relating to the product; provided that such assignee shall remain subject to all of the terms and conditions hereof in all respects and shall assume all obligations of dova hereunder whether accruing before or after such assignment.""]",Change Of Control
"['the joint venture company shall take out the required insurance from an insurance company or organization permitted by chinese laws and regulations to provide such insurance.', 'the joint venture company, at its own expense, shall take out and maintain at all times during the contract term with insurance companies insurance against loss or damage by fire, natural disasters and other risks of types and in amounts as may be recommended by the ceo and decided by the board of directors.']",Insurance
"[""neither party shall be entitled to recover from the other party any special, incidental, consequential or punitive damages in connection with this agreement; provided however, that this section 10.5 shall not be construed to limit (a) either party's right to special, incidental or consequential damages for the other party's breach of article 8 or (b) either party's indemnification rights or obligations under article 11.""]",Uncapped Liability
['royalties and service fees payable by dialog and/or its affiliates to energous hereunder will be calculated on a product by product basis as defined herein.'],Revenue/Profit Sharing
"['licensor on behalf of itself and its affliates hereby grants to licensee the limited licenses to use and have used the licensed mark: (i) for the licensed products as set forth on schedule 2; and (ii) as set forth on schedule 1, concerning agreements entered into by licensee prior to the effective date (""existing agreements""). for the avoidance of doubt, licensor also grants to licensee and its subsidiaries and affiliates a non-exclusive, worldwide royalty-free license for continued use of the licensed mark for the production and sale of inventory containing the licensed mark applied to such products during the transition period as set forth in section 8.2 of the separation and distribution agreement and in schedule 2 of this agreement.']",Affiliate License-Licensor
"['each party agrees that during the term of this agreement and for a period of six (6) months thereafter it shall not, without the prior written consent of the other party, either on its own account or through its employees or agents or otherwise or on behalf of any other person, firm, company or other organisation and other than by general advertising, solicit, interfere with, procure or entice away (or, in each case, attempt so to do), either directly or indirectly, any employee or contractor of the other party.']",No-Solicit Of Employees
"['except with regard to obligations to indemnify a party for claims made by third parties, neither party shall be liable to the other party (or its affiliates) pursuant to this agreement for any consequential, incidental, indirect, or special damages or losses or any punitive, exemplary, treble, or similar damages arising out of or relating to this agreement or the performance of, or failure to perform, its obligations hereunder, even if such damages or losses are caused by the sole, joint, or concurrent negligence, strict liability, or other fault of the party whose liability is being waived hereby.']",Cap On Liability
"['neither the company nor the consultant shall be liable for any consequential loss, including but not limited to, claims for loss of profit, revenue or capital, loss of use of utilities, equipment or facilities, down-time cost, service interruption, cost of money, injury or damage of any character whatsoever.']",Cap On Liability
"['any proposed transfer that is not described in subsection 13.2.1 or 13.2,2 is a change of ownership transfer.', ""we will permit you or any equity owner named in the addendum as of the effective date (or any transferee equity owner we subsequently approve) to engage in the permitted transfers set forth below if any such permitted transfer does not result in a change of control of the franchisee, the hotel or the hotel site and: (a) the proposed transferee is not a sanctioned person or a competitor; (b) you give us at least sixty (60) days' advance written notice of the proposed permitted transfer (including the identity and contact information for any proposed transferee and any other information we may require in order to review the proposed permitted transfer); (c) you pay to us a nonrefundable processing fee of five thousand dollars ($5,000) with the permitted transfer request; (d) you follow our then-current procedure for processing permitted transfers; and (e) you execute any documents required by us for processing permitted transfers."", 'you consent to our communication with any party we deem necessary about the hotel in order for us to evaluate the proposed change of ownership transfer.', 'our consent to the change of ownership transfer is subject to the following conditions, all of which must be satisfied at or before the date of closing the change of ownership transfer (""closing""): 13.2.3.1 the transferee submits a change of ownership application, pays our then current franchise application fee and any pip fee, executes our then-current form of new franchise agreement and all ancillary forms, including a guaranty from a third-party acceptable to us, if required; 13.2.3.2 you are not in default of this agreement or any other agreements with us or our affiliates; 13.2.3.3 you or the transferee pay all amounts due to us and the entities through the date of the closing; 13.2.3.4 you execute our then-current form of voluntary termination agreement, which may include a general release, covering termination of this agreement; 13.2.3.5 you conclude to our satisfaction, or provide adequate security for, any suit, action, or proceeding pending or threatened against you, us or any entity with respect to the hotel, which may result in liability on the part of us or any entity;<omitted>13.2.3.6 you, the transferee and/or transferee equity owner(s) submit to us all information related to the transfer that we require, including applications; and 13.2.3.7 the transferee meets our then-current business requirements for new franchisees and is neither a sanctioned person nor a competitor.', 'we will have sixty (60) days from our receipt of the completed and signed franchise application to consent or withhold our consent to any proposed change of ownership transfer.']",Change Of Control
"['during the term and subject to the limitations set forth in paragraphs 9 and 10, hds shall have the right to use the name, image, likeness, characterization, visual and audio representation of celebrity (""celebrity attributes"") in connection with hds\' product, clotamin, in the territory as follows: a. in a television commercial (specific spot length to be mutually agreed upon) promoting clotamin (""commercial"") aired specifically in the following three (3) television markets: (1) washington, dc metro area; (2) florida; and (3) texas (collectively ""markets""); b. on hds\' website (www.clotamin.corn) (""website""); and c. in clotamin-related press releases.']",License Grant
"[""for two (2) years following the effective time, qiwi covenants that at least one half of the total transactions processed by the contact money transfer system during such two-year period shall be settled through pjsc khanty-mansiysk bank otkritie, provided that qiwi may terminate its obligation under this clause 4.1 at any time, in which case it shall pay to otkritie a fee equal to the demonstrated costs incurred by otkritie for such period starting from 1 september 2014, until the date of termination of qiwi's obligations under this clause 4.1 in connection with (i) the transfer of settlement bank function to pjsc khanty-mansiysk bank otkritie ; and (ii) supporting the settlement bank functionality for the contact money transfer system, provided further that such fee shall in no event exceed rub 50 000 000 (fifty million roubles).""]",Minimum Commitment
"['neither party may assign its rights and obligations under this agreement without the written consent of the other party.', 'the contractor shall not assign this agreement or any of its rights, powers, duties or obligations hereunder without the express prior written consent of the company, which shall not be unreasonably withheld.', 'in the event that the company engages a third party to perform any of the obligations of the contractor under this agreement, the company 19\n\n\n\n\n\n shall provide written notice to the contractor of such engagement, the contractor shall thereafter be relieved of any such obligations for which the third party was engaged.']",Anti-Assignment
['mbrk may terminate this agreement upon 60 days notice for a change of control subject to the fees outlined in paragraph (f) of this section 18.'],Change Of Control
"['the company hereby grants to hdi a non-exclusive, limited, non-transferable license to use the company\'s ""deerskin"" trademarks, service\n\n\n\n\n\nmarks, and logos (collectively, ""marks"") solely for the purpose of carrying out its obligations under this agreement.', 'hdi shall provide the company with access to, and\n\nthe right to use, a computer system on which the site will be stored and operated, with a direct internet connection of shared but greater than t-1 bandwidth, plus capacity to process continuously during burst periods.']",License Grant
"['if garman does not receive notice of any deficiencies within ten (10) business days after the completion of the acceptance period, then sparkling shall be deemed to have accepted the software at that authorized location.', 'if during the acceptance period described in section 6, the software has failed to perform in accordance with the specifications and garman has been unable to correct the deficiency within 45 business days of written notice being provided to garman of such failure then sparkling shall have the option, exercisable on 15 business days written notice to garman, in lieu of any other remedy, to reject the software.', 'for the acceptance period and for a period of one year from the maintenance commencement date, and thereafter for as long as the software is covered by maintenance services and is used by sparkling in accordance with this agreement, garman warrants that the software shall perform in conformance with the specifications in all material respects.', ""for each new authorized location, upon written notice by garman of the completion of the installation of the software as contracted for in section 4 including training provided for in section 5, sparkling shall operate and test the software for an acceptance period of 30 business days in accordance with sparkling's normal operating practices.""]",Warranty Duration
"[""this agreement is binding upon each party's assigns, transferees and successors; provided that no party may assign or otherwise transfer, by operation of law or otherwise, this agreement in whole or in part, without the other party's prior written consent.""]",Anti-Assignment
"[""for the term of this agreement, company grants distributor a limited, revocable, non-transferable, non-exclusive license under company's copyrights to use the company products at distributor's facilities in the territory solely for marketing and support purposes directly related to the performance of its duties under this agreement.""]",Non-Transferable License
"['in the event that, prior to the contract period, company has filed one or more applications for registration of any such trademark, or otherwise has obtained any rights to such trademark, company agrees to cause such applications and/or trademarks to be assigned and transferred to pey dirt forthwith.']",Ip Ownership Assignment
"['you agree that during the term of this agreement, you will not, without our prior written consent, either directly or indirectly through any other person or entity:<omitted>17.1.1. own, manage, engage in, be employed by, advise, make loans to, consult for, rent or lease to, or have any other interest in any business that (directly or indirectly) operates, or grants franchises or licenses to operate, a restaurant featuring pizza and related food specialties or that offers products or services substantially similar to those then offered by restaurants (""competitive business""); 17.1.2. divert or attempt to divert any business or customer, or potential business or customer, to any competitive business; or 17.1.3. induce any person to leave his or her employment with us. 17.1.4. in any manner interfere with, disturb, disrupt, impair, diminish, or otherwise jeopardize our business or that of any of our franchisees.', 'if any of your advertising within the delivery/catering and advertising area is in media that will or may reach a significant number of persons outside of the delivery/catering and advertising area, you must notify us in advance and obtain our prior written consent (in addition to the requirements in section 9.3 [regional fund] below).', 'you agree not to engage in any of the sales activities that we have reserved to ourselves in sections 1.3 [our limitations and our reserved rights] above.', 'for two (2) years after the expiration or termination of this agreement or an approved transfer to a new franchisee, you may not directly or indirectly own, manage, engage in, be employed by, advise, make loans to, consult for, or have any other interest in any competitive business that is, or intends to operate, within three (3) mile radius of the premises of your franchised business or within a three (3) mile radius of any restaurant then-operating or under construction to operate under the system, except as permitted by any franchise agreements that remain in effect between you and us. .', 'you agree not to: (a) advertise or market the services of your franchised business outside of the delivery/catering and advertising area; and/or (b) engage in direct solicitation of customers outside of the delivery/catering and advertising area.', 'without our prior written approval, you may not engage in any other type of sale, including, but not limited to: selling, distributing, or otherwise providing, any services or products to third parties at wholesale, or for resale or distribution by any third party; and selling, distributing or otherwise providing any products and/or services through catalogs, mail order, toll free numbers for delivery, or electronic means (e.g., the internet).']",Non-Compete
"['subject to the licenses and rights of reference granted under sections 5.1 and 5.2 and, in the case of harpoon, its exclusivity obligations hereunder, each party shall have the right to exploit the joint intellectual property rights without a duty of seeking consent from or accounting to the other party.', 'subject to section 3.8.2(c), as between the parties, each party, or their respective affiliates, shall own an equal, undivided interest in and to any and all (a) information and inventions that are conceived, discovered, developed or otherwise made jointly by or on behalf of harpoon or its affiliates (including subcontractors thereof), on the one hand, and abbvie or its affiliates (including subcontractors thereof), on the other hand, in connection with the work conducted under or in connection with this agreement, in each case whether or not patented or patentable (the ""joint know-how""), and (b) patents (the ""joint patents"") and other intellectual property rights with respect to the information and inventions described in subclause (a) (together with joint know-how and joint patents, the ""joint intellectual property rights"").', ""for clarity, if abbvie does not exercise its license option, harpoon retains all rights under harpoon's interests in the joint patents and the joint know-how, if any, to exploit the licensed compounds and licensed products in its sole discretion without duty to account to abbvie in connection with such use or exploitation."", 'each party will promptly disclose to the other party in writing, the conception, discovery, development or making of any joint know-how or joint patents by persons who perform activities for it under this agreement. each party will execute and record assignments and other necessary documents consistent with such ownership promptly upon request.', 'each party shall promptly disclose to the other party in writing, and shall cause its affiliates, licensees and sublicensees to so disclose, the development, making, conception or reduction to practice of any joint know-how or joint patents.']",Joint Ip Ownership
"[""ntc agrees that the product prices, benefits and allowances offered to alfa aesar shall not be less favorable than those offered on products provided to agents, distributors or marketed directly by ntc to any customers, other than the product prices existing as of the date of this agreement with ntc's commercial partners.""]",Most Favored Nation
"['this agreement shall be binding upon and inure to the benefit of the parties and their successors and permitted assigns; provided, however, that the rights and obligations of any party under this agreement shall not be assignable by such party without the prior written consent of the<omitted>other party pursuant to section 8.1.', 'neither party may assign its rights under this agreement without prior written consent from the other party, which consent shall not be unreasonably withheld; provided, however, that either party may assign its rights under this agreement to a successor in interest resulting from any merger, reorganization, consolidation or as part of a sale of all or substantially all of its assets.']",Anti-Assignment
"['unless accepted by the principal, the distributor agrees that during the term of this agreement, the distributor, either directly or indirectly, shall handle no products that are competitive with the products within the territory.']",Non-Compete
"['during and after the term, neither party shall register, use or claim ownership or other rights in any logo, trade name, brand name or trademark of the other party in existence during the term (nor any logo, trade name, brand name or trademark confusingly similar to any logo, trade name, brand name or trademark of the other party in existence during the term), nor assist anyone else to do so, nor make or assist in any challenge to any logo, trade name, brand name or trademark of the other party in existence during the term.']",Covenant Not To Sue
