clause_id,clause_text,true_label,bert_label,svm_label,hybrid_label,used_model,bert_confidence,bert_margin,clause_length,short_clause
149,"['without limiting the foregoing, equifax hereby grants, and will cause the other members of the equifax group to grant, to certegy a fully paid, non- exclusive, perpetual, worldwide, transferable license to use, modify, improve, create derivative works from, and sublicense, the utility software programs (in both object and source code format) identified on exhibit l as being owned by equifax or a member of the equifax group for any and all fields of use and to any and all persons.', 'equifax hereby grants, and will cause each member of the equifax group to grant, to certegy and each member of the certegy group a fully paid, non- exclusive, worldwide, non-transferable right to continue to use the equifax marks employed in the certegy business, but only to the extent such equifax marks were displayed by the certegy group prior to the distribution date (i) on the transferred equifax assets, (ii) on premises jointly occupied with equifax, and (iii) on letterhead, product and services documentation, invoices, software programs, packaging and similar materials used by the members of the certegy group, and such equifax marks are used in accordance with the guidelines for usage of the equifax marks published and amended by equifax from time to time.', ""the sublicense rights granted to certegy pursuant to section 4.1(a) include the right for certegy to grant sublicenses to the licensed equifax materials (excluding the utility software programs) to the members of the certegy group, which sublicenses may include the right to further sublicense such licensed equifax materials (excluding the utility software programs) to such group member's customers solely for each such customer's internal business purposes to the extent related to the certegy business."", 'certegy hereby grants, and will cause each member of the certegy group to grant, to equifax and each member of the equifax group a fully paid, non- exclusive, worldwide, non-<omitted>transferable right to continue to use the marks that were owned immediately prior to the distribution date by a member of the certegy group and employed in the equifax business, but only to the extent such marks were displayed by the equifax group prior to the distribution date (i) on assets owned by equifax or any member of the equifax group (other than the transferred assets), (ii) on premises jointly occupied with one or more members of the certegy group, and (iii) on letterhead, product and services documentation, invoices, software programs, packaging and similar materials used by the members of the equifax group, and such marks are used in accordance with the same guidelines for usage as the equifax marks as described in subsection (a) above.', ""the sublicense rights granted to equifax pursuant to section 4.4(a) include the right for equifax to grant sublicenses to the licensed certegy materials (excluding the utility<omitted>software programs) to the members of the equifax group, which sublicenses may include the right to further sublicense such licensed certegy materials (excluding the utility software programs) to such group member's customers solely for each such customer's internal business purposes to the extent related to the equifax business."", 'equifax hereby grants, and will cause the other members of the equifax group to grant, to certegy a fully paid, non-exclusive, perpetual, worldwide, non-transferable license to use, modify, copy, improve, create derivative works and certegy enhancements from, and sublicense the licensed equifax materials (excluding the utility software programs) solely for use in the certegy business and as that business may evolve and change in the future, subject to the following:\n\n (i) certegy shall not sublicense, or otherwise disclose or distribute, or permit any person to use, the licensed equifax materials (excluding the utility software programs), except in accordance with section 4.1(b);\n\n (ii) certegy shall hold the licensed equifax materials (excluding the utility software programs) in strict confidence; will not remove or destroy any proprietary markings of the equifax group on or contained in the licensed equifax materials (excluding the utility<omitted>software programs); and will include the copyright and patent notices of the licensor as specified from time to time by the licensor for the licensed equifax materials (excluding the utility software programs) on and in all copies of the licensed equifax materials (excluding the utility software programs);\n\n (iii) certegy shall not export or re-export the licensed equifax materials (excluding the utility software programs) without the appropriate united states or foreign government licenses; and\n\n (iv) all sublicenses from certegy to members of the certegy group (a)\n\n\n\n\n\n shall contain the rights and restrictions set forth in this section 4.1(a) with respect to the license granted to certegy and comply with sections 4.1(b) through (d) hereof and (b) shall be diligently enforced by certegy.', 'without limiting the foregoing, certegy hereby grants, and will cause\n\n\n\n\n\nthe other members of the certegy group to grant, to equifax a fully paid, non- exclusive, perpetual, worldwide, transferable license to use, modify, improve, create derivative works from, and sublicense, the utility software programs (in both object and source code format) identified on exhibit l as being owned by certegy or a member of the certegy group for any and all fields of use and to any and all persons.']",Affiliate License-Licensee,License Grant,Affiliate License-Licensor,Affiliate License-Licensor,SVM,0.3655,0.1469,845,False
150,"['should there be a change of control of either party resulting in the control of such party by a third party which markets or sells a competing product in any part of the territory, then the rights under this agreement may not be assigned without the express consent of the other party which consent shall not be unreasonably withheld.', 'subject to section 20.2, neither party shall, nor shall it purport to, assign, license, transfer or change any of its rights or obligations under this agreement without the prior written consent of the other, such consent not to be unreasonably withheld conditioned or delayed; provided, however, that except as provided in section 20.4 either party may assign its rights hereunder to an affiliate or to any successor by merger, consolidation, sale of stock or other equity interests or the sale of substantially all of the assets of such party without the consent of the other party.']",Anti-Assignment,Anti-Assignment,Anti-Assignment,Anti-Assignment,DistilBERT,0.7702,0.6684,155,False
151,"['after the first year and upon 180 days written notice, reseller may terminate the amc.']",Termination For Convenience,Termination For Convenience,Termination For Convenience,Termination For Convenience,Agreement,0.824,0.7991,15,True
152,"['notwithstanding anything contained herein to the contrary, the cumulative liability of the parties to one another for any claims, liabilities, losses, damages or expenses, direct or indirect, arising out of or related to this agreement shall not exceed the lesser of $50,000 or (not including other funding amounts such as the point value of cards) or the amount paid by schoolpop to aeis for the immediately preceding twelve (12) months provided, however, that in no event shall this limitation of liability apply to any claims, liabilities, losses, damages, or expenses, direct or indirect, arising out of or related to this agreement brought by the actions of schoolpop pursuant to paragraphs 4(e), 4(i), 4(k), 4(p), 5(a), 5(b), 6(b), 7(a), 7(d), 14(d.iii), 9(f) and sections 2, 3 11, 12, and 13, and exhibit 1 of this agreement. in no event shall\n\n\n\n\n\neither party be liable to the other, under any theory, for lost profits, exemplary, punitive, special incidental, indirect, or consequential damages.']",Cap On Liability,Cap On Liability,Cap On Liability,Cap On Liability,Agreement,0.6919,0.5125,159,False
153,"[""subject to the terms and conditions of this agreement, sponsor hereby grants to excite a royalty-free, non-exclusive, worldwide license to use, reproduce, distribute, transmit and publicly display the content in accordance with this agreement and to sub-license the content to excite's wholly-owned subsidiaries or to joint ventures in which excite participates for the sole purpose of using, reproducing, distributing, transmitting and publicly displaying the content in accordance with this agreement""]",Affiliate License-Licensee,License Grant,License Grant,License Grant,Agreement,0.4306,0.2453,70,False
154,"['during the first five (5) years of the term, with respect to the bulk vehicle gel, intermediate drug product and finished product, vericel shall order and purchase such products exclusively from mediwound in accordance with the terms of this agreement; provided, however, vericel may manufacture or have manufactured the products (a) upon the occurrence of a supply failure with respect to any product hereunder, or (b) as otherwise permitted under the terms of the license agreement or this agreement.', 'mediwound hereby grants to vericel an exclusive (even as to mediwound), sublicensable, royalty- free, fully paid-up, license in the territory to use the licensed trademarks (as defined in the license agreement) and a non- exclusive, sublicensable, royalty-free, fully paid-up, license to use the mediwound name and trademark, in<omitted>each case, in connection with the manufacture of licensed products in or for the territory.']",Exclusivity,License Grant,License Grant,License Grant,Agreement,0.4155,0.2667,141,False
155,"['if you are a partnership or limited liability partnership, then the partners of that partnership will not, without our prior written consent, admit additional general partners, remove a general partner, or otherwise materially alter the powers of any general partner.', 'principals must not, without our prior written consent, transfer, pledge, and/or otherwise encumber their interest in you.', 'you represent and warrant to us, and agree, that your owners are accurately set forth on exhibit c to this agreement, and you also agree not to permit the identity of those owners, or their respective interests in you, to change without complying with this agreement.', 'you agree not to make a transfer (and not to permit any other party to make a transfer) without our prior written consent. 16.4.1.1 as used in this agreement, the term ""transfer"" is agreed to mean any sale, assignment, conveyance, pledge, encumbrance, merger, creation of a security interest in, and/or giving away of any direct or indirect interest in: (a) this agreement; (b) you; (c) any or all of your rights and/or obligations under this agreement; and/or (d) all or substantially all of the assets of the franchised business.']",Change Of Control,Anti-Assignment,Anti-Assignment,Anti-Assignment,DistilBERT,0.7136,0.6395,192,False
156,"[""this agreement and the licence granted hereunder shall terminate should any of the following events occur: 6. 2. 1. 30 (thirty) days after telkom gives sap africa written notice of telkom's wish to terminate this agreement for any reason. any such termination shall be subject to accrued rights and obligations but only after payment of all licence and maintenance fees then due and owing;"", 'the maintenance services may be terminated by telkom in writing at any time upon 3 (three) months prior written notice.']",Termination For Convenience,Termination For Convenience,Termination For Convenience,Termination For Convenience,DistilBERT,0.8059,0.766,84,False
157,"[""notwithstanding anything herein to the contrary, ajr's liability under this section 11 shall not exceed one hundred fifty thousand dollars ($150,000)."", 'the indemnification obligations described in section 11(a), including all limitations on such obligations, shall be the exclusive remedy of the xc indemnified parties for any losses resulting from or based upon any breach by ajr of any of its agreements, covenants or obligations hereunder or the use of any of the licensed materials in a manner that is not permitted hereby.', ""in addition, ajr's obligations under section 11(a) above shall survive for a period of one (1) year after the date of this agreement.""]",Cap On Liability,Cap On Liability,Cap On Liability,Cap On Liability,Agreement,0.6723,0.4894,105,False
158,"[""in case of division or merger of party b, this agreement shall terminate, and the successor company (or other entity) to party b's wireless value added business hereunder shall re-apply for business opening to party a, and timely modify party b's enterprise identifier code and other information existing on party a's business system or other business management system."", 'during the term hereof, any division, merger, dissolution, liquidation, bankruptcy or other events that lead to changes of party b in the company nature, qualification and capacity for civil acts shall be notified to party a in time, and subject to the provisions hereunder about the exit grace period.']",Change Of Control,Change Of Control,Change Of Control,Change Of Control,Agreement,0.3561,0.1655,107,False
159,"[""with the exception of wilful misconduct by a party, and such cases where a limitation of liability and/or indemnification is not possible under applicable law, for which cases there shall be no limitation, any and all liability and/or indemnification obligations of each of bii and xencor under this agreement shall be: a. excluded for incidental, indirect, consequential, punitive or special damages (provided that the foregoing shall not exclude a party's right to consequential or incidental<omitted>damages for any negligent or intentional breach of confidentiality and non-use obligations under section 9); and b. each party's aggregate liability and/or indemnification obligations towards the other party under this agreement shall not exceed an amount equal to the average annual aggregate amount paid or to be paid by xencor to bii hereunder; provided, however, that in the case of a party's negligent or intentional breach of confidentiality and non\xaduse obligations pursuant to section 9, this limitation of liability shall be increased to twice the average annual aggregate amount paid or to be paid by xencor to bii hereunder; provided however that the foregoing subsections a. and b. of this section 7.4 shall not limit xencor' s liability and indemnification obligation towards bii with respect to any third party claims according to clause (iii) and (iv) of section 7.3 b. regarding any use of the deliverables (in particular the product) in humans and/or with respect to any third party claim that bii's use of the material to manufacture the product infringes any issued patent owed by such third party (excluding any such claim based specifically on use of the process but not on the use of the material).""]",Uncapped Liability,Cap On Liability,Uncapped Liability,Uncapped Liability,SVM,0.6823,0.4943,272,False
160,"['this agreement may not be assigned by either party without the prior written consent of the other party; provided, however that either party may assign this agreement, in whole or in part, to any of its affiliates if such party guarantees the performance of this agreement by such affiliate; and provided further that either party may assign this agreement to a successor to all or substantially all of the assets of such party whether by merger, sale of stock, sale of assets or other similar transaction']",Anti-Assignment,Anti-Assignment,Anti-Assignment,Anti-Assignment,DistilBERT,0.9217,0.9029,86,False
161,"['the company shall pay hdi thirty percent (3016) of the net sales in excess of eleven thousand dollars ($11,000) per calendar month.']",Revenue/Profit Sharing,Revenue/Profit Sharing,Revenue/Profit Sharing,Revenue/Profit Sharing,Agreement,0.5967,0.469,22,False
162,"[""capital resources shall receive the following compensation for its services hereunder:\n\n (a) (i) a marketing fee in the amount of (x) two percent (2.0%) of the aggregate dollar amount of all shares sold in the subscription and public offerings, excluding sales made through broker assisted purchases or by other nasd member firms participating in the subscription and public offerings pursuant to the selected dealers' agreement, if any (for which capital resources' compensation shall be pursuant to sub-paragraph (ii)) and excluding shares sold to the association's employee stock ownership plan, directors, officers or employees and any member of such person's immediate family (defined to include children, spouse, parents, grandparents and grandchildren);\n\n (ii) a management fee in the amount of one percent and one-half (1.5%) of the aggregate dollar amount of shares sold through broker assisted purchases or through selected dealers, if any.""]",Revenue/Profit Sharing,Revenue/Profit Sharing,Revenue/Profit Sharing,Revenue/Profit Sharing,Agreement,0.6366,0.5644,141,False
163,"['""development fee"" means 50% of the net sales for any development products in the development territory.', 'thereafter, wpd shall furnish to cns development fees no later than forty-five days after the end of each calendar quarter for the sale of development products through the end of such calendar quarter and shall further furnish cns with a written statement setting forth an accounting showing the calculation of the development fees.', 'the first development fees payment shall be due forty-five days after the end of the calendar quarter in which the first sale of a development product took place.']",Revenue/Profit Sharing,Revenue/Profit Sharing,Revenue/Profit Sharing,Revenue/Profit Sharing,Agreement,0.4055,0.1546,97,False
164,"['this agreement may be terminated subject to the following clauses:<omitted>subject to section 1.6, by vendor (or successor to vendor), upon written notice to distributor of a change of control of vendor and the election by vendor (or successor to vendor) to terminate this agreement, where a ""change of control"" shall mean a change in ownership of the vendor such that an unaffiliated third party acquires a majority of the voting power of vendor;']",Change Of Control,Change Of Control,Change Of Control,Change Of Control,Agreement,0.5383,0.4547,73,False
165,"['during the term of this agreement, except as otherwise permitted by this section 3(a)(v), vs agrees that it shall not enter into the same or substantially similar commitments with any other company or entity which performs clinical research services the same or similar to those provided by ppd or any ppd affiliate (collectively, ""ppd competitor""), nor shall vs provide preferred pricing to a ppd competitor which is better than that provided by vs hereunder to ppd.', 'further, during the term of this agreement, ppd agrees that it shall not enter into commitments which are the same or substantially similar to the ppd commitments set forth in section 3 with any other imaging vendor for the performance of preferred services.']",Exclusivity,Non-Compete,Most Favored Nation,Most Favored Nation,SVM,0.2888,0.1779,119,False
166,"['the first year warranty starts with the date of shipment and terminates on the anniversary of the first year.', ""replacement or repaired units will be returned to the integrator within 14 working days of receipt of a defective unit at wli's cost."", 'any implied warranties of the licensed software are limited to one year starting from the date of purchase or for the period described in the contractual agreement with the power2ship.', 'wireless links (wli) warrants to the original end user purchaser (""you"") that the equipment will be free from defects in workmanship and materials (""limited warranty"") for a period of one (1) year from the date of the purchase of the equipment (the ""warranty period"").', 'wli at\n\n\n\n\n\nits discretion will repair or replace the equipment in accordance with the terms of this limited warranty and send it back to you.', 'any implied warranties of the licensed software are limited to one year starting from the date it was shipped to the integrator or starting with the date specified as the starting date in the leasing and / or purchase agreement with the integrator.', 'within 14 days from discovery of a defect, the integrator shall notify wli in writing of said defect.', 'wli will provide a one year limited warranty for its hardware products as per the terms and conditions described in ""attachment b"".', 'in addition, during the warranty period and/or duration of this agreement wli from time to time may furnish power2ship with further releases of the licensed programs to provide corrections of significant programming or software errors.', 'the first year limited warranty starts on the day of the activation of the unit on a wireless network.']",Warranty Duration,Warranty Duration,Warranty Duration,Warranty Duration,Agreement,0.3431,0.2676,277,False
167,"[""in no event shall company be liable for any incidental or consequential damages and distributor's remedies shall be limited to repair or replacement of nonconforming units or parts."", 'nor shall the company at any time be liable for any incidental, special or consequential damages.']",Cap On Liability,Cap On Liability,Cap On Liability,Cap On Liability,Agreement,0.6919,0.5136,44,False
168,"['if women.com does not deliver the shortfall within sixty (60) days of the end of the applicable quarter, ediets may terminate this agreement in its entirety immediately or authorize women.com to deliver the shortfall within an extended number of days to be mutually agreed upon by the parties (the ""make good period"").', 'notwithstanding the foregoing, women.com does guarantee a minimum of 13,000,000 impressions promoting ediets per year on the diet center.', 'if women.com does not deliver at least 80% of the quarterly impression guarantee for advertsing promotions as set forth on exhibit b (11,250,000 per quarter; 45,000,000 per year); 80% of the quarterly impression guarantee for the diet center logo as set forth on exhibit b (3,250,000 per quarter; 13,000,000 per year); and 80% of the quarterly impression guarantee for other campaigns as set forth on exhibit b (3,000,000 per quarter; 12,000,000 per year) each quarter following the launch date, within sixty (60) days of the end of the applicable quarter, women.com shall deliver an amount equal to the under-delivery within the same campaign elements, including newsletters, promotions, exclusive sponsorships, targeted rotations, ros, channel and sub-channel center logo placements, or mutually agreed upon comparable elements.', ""during the term, ediets.com will be guaranteed 12 million circulation per year from and after the effective date via newsletters, including but not limited to: >> fashion & beauty newsletter: 300,000 subscribers per month >> food news: 180,000 subscribers per month >> prevention: 1,600,000 subscribers per month >> internet scopes: 2,400,000 subscribers per month >> sex & romance: 120,000 subscribers per month >> what's new: 1,100,000 subscribers per month >> women.com member newsletter: 1,700,000 subscribers per month\n\nguaranteed circulation per year: 12,000,000""]",Minimum Commitment,Minimum Commitment,Minimum Commitment,Minimum Commitment,Agreement,0.4706,0.3628,276,False
169,"['airspan grants distributor, and distributor hereby accepts, a nonexclusive, non-transferable license to use, and to sublicense as set forth below, software provided by airspan hereunder only on a single system or unit of equipment, as may be applicable.', ""distributor's appointment as a distributor of the airspan products grants to distributor only a license to resell the<omitted>airspan products to distributor's customers in the territory, and does not transfer any right, title, or interest in any of the airspan software to distributor.""]",License Grant,License Grant,Non-Transferable License,Non-Transferable License,SVM,0.3659,0.1048,80,False
170,"['herc may not assign, transfer, sublicense or delegate any of its rights hereunder or delegate its obligations hereunder without the prior written consent of hsi, and any such purported assignment, transfer, sublicense or delegation, in the absence of such consent, shall be void and without effect.']",Anti-Assignment,Anti-Assignment,Anti-Assignment,Anti-Assignment,DistilBERT,0.9344,0.9237,46,False
171,"[""notwithstanding the foregoing, any assignment of the rights or obligations under this agreement by a party (i) to an affiliate shall require such party to guarantee the performance of such affiliate's financial and performance obligations hereunder or (ii) in connection with the sale or other transfer of all or substantially all of such party's business or assets to which this agreement relates shall require the ultimate affiliate controlling the other party in such transaction to guarantee such party's financial and performance obligations hereunder and such party shall remain liable for such financial and performance obligations notwithstanding such sale or other transfer of all or substantially all of such party's business or assets to which this agreement relates."", 'pb shall not sell, transfer or assign, directly or indirectly, in whole or in part, any rights to receive payments of royalties or license fees with respect to the product or the pb intellectual property (including any accounts with respect to such royalties or license fees), other than to a wholly owned direct or indirect subsidiary of pb (it being understood that the foregoing shall not restrict the creation of any permitted lien).', ""notwithstanding any of the foregoing, without the consent of pb, which consent may be withheld in pb's sole discretion, sfj shall not sell, assign, sublicense or otherwise transfer this agreement to an entity whose primary business is the development or commercialization of pharmaceutical or biotechnology products prior to the date of program transfer."", 'without the prior written consent of the other party hereto, neither party will sell, transfer, assign, pledge or otherwise dispose of, whether voluntarily, involuntarily, by operation of law or otherwise, this agreement or any of its rights or duties hereunder; provided, however, that either party may assign, sublicense or transfer this agreement and all of its rights and obligations hereunder, in their entirety, to any of its affiliates or to a successor in connection with the sale or other transfer of all or substantially all of its business or assets to which this agreement relates, whether by merger, sale of stock, sale of assets or otherwise, and']",Anti-Assignment,Anti-Assignment,Anti-Assignment,Anti-Assignment,Agreement,0.6721,0.5687,350,False
172,"['except as expressly permitted hereunder or in exhibit f hereto, neither party may transfer, assign or sublicense this agreement, or any rights or obligations hereunder, whether by contract or by operation of law, except with the express written consent of the other party, and any attempted transfer, assignment or sublicense by a party in violation of this section shall be void.']",Non-Transferable License,Anti-Assignment,Anti-Assignment,Anti-Assignment,DistilBERT,0.9285,0.9142,61,False
173,"['after the initial term, this agreement shall continue on a month to month basis until terminated by either party upon thirty (30) days prior written notice to the other setting forth the effective date of such termination.']",Termination For Convenience,Termination For Convenience,Termination For Convenience,Termination For Convenience,DistilBERT,0.8114,0.7817,37,False
174,"['for avoidance of doubt, all bii liability or indemnification obligation that might result from representations and the warranties under this section 6 are always subject to the limitations set forth in section 7.4 of this agreement.', ""with the exception of wilful misconduct by a party, and such cases where a limitation of liability and/or indemnification is not possible under applicable law, for which cases there shall be no limitation, any and all liability and/or indemnification obligations of each of bii and xencor under this agreement shall be: a. excluded for incidental, indirect, consequential, punitive or special damages (provided that the foregoing shall not exclude a party's right to consequential or incidental<omitted>damages for any negligent or intentional breach of confidentiality and non-use obligations under section 9); and b. each party's aggregate liability and/or indemnification obligations towards the other party under this agreement shall not exceed an amount equal to the average annual aggregate amount paid or to be paid by xencor to bii hereunder; provided, however, that in the case of a party's negligent or intentional breach of confidentiality and non\xaduse obligations pursuant to section 9, this limitation of liability shall be increased to twice the average annual aggregate amount paid or to be paid by xencor to bii hereunder; provided however that the foregoing subsections a. and b. of this section 7.4 shall not limit xencor' s liability and indemnification obligation towards bii with respect to any third party claims according to clause (iii) and (iv) of section 7.3 b. regarding any use of the deliverables (in particular the product) in humans and/or with respect to any third party claim that bii's use of the material to manufacture the product infringes any issued patent owed by such third party (excluding any such claim based specifically on use of the process but not on the use of the material)""]",Cap On Liability,Cap On Liability,Uncapped Liability,Uncapped Liability,SVM,0.6687,0.4673,308,False
175,"[""if party a discovers in its spot checks conducted from time to time that any game, software, business, works, content or service provided by party b is not in compliance with laws, regulations, industry rules, party a's management measures or contractual agreement, party b shall pay party a additional amount of performance bond at rmb5,000 per violation, or rmb10,000 per business, to be payable to by party b within 10 working days after the results of copyright spot checks are posted."", 'for the third time of the aforementioned violation, party a will withhold the full amount of the performance bond already paid by party b, and terminate the full-range business cooperation for one year.', ""if party a discovers that party b has violated the integrity agreement attached hereto by bribing party a's working personnel, party a may elect to impose a penalty of rmb10,000 to 100,000, suspend cooperation for 1-3 years or terminate the cooperation depending on the seriousness of the violation and the consequences thus brought about, and any loss thus incurred to party a shall be borne by party b"", 'for the second time of the aforementioned violation, the amount of performance bond shall be additionally paid at rmb3,000 per time on the basis of the amount previous paid']",Liquidated Damages,Liquidated Damages,Liquidated Damages,Liquidated Damages,Agreement,0.1481,0.0209,211,False
176,"['following the completion of such maintenance term, bankers bank may, at its option, renew maintenance for subsequent periods of one (1) year each, subject to adjustments proposed by netzee not to exceed 5% at least sixty (60) days in advance of the applicable renewal date.']",Price Restrictions,Post-Termination Services,Volume Restriction,Volume Restriction,SVM,0.2002,0.0501,45,False
177,"['upon termination of this agreement, neither party shall be liable to the other for any consequential, exemplary, special, incidental or punitive damages, even if it has been advised of the possibility of such damages, which are related to the agreement or its breach.']",Cap On Liability,Cap On Liability,Cap On Liability,Cap On Liability,Agreement,0.6844,0.5023,43,False
178,"['subject to all terms and conditions of this agreement, sonos hereby grants to iac and its affiliates a non- exclusive, worldwide, nontransferable, royalty-free right and license to make copies of the software specified in the applicable statement of work solely as necessary to install and embed such software in the product.', ""subject to all terms and conditions of this agreement, sonos hereby grants to iac and its affiliates a non-exclusive, worldwide, nontransferable, royalty free right and license under sonos' intellectual property rights, to manufacture the products solely for sonos.""]",Non-Transferable License,License Grant,Affiliate License-Licensee,Affiliate License-Licensee,SVM,0.4119,0.2031,89,False
179,"[""except in the event of (i) a party's gross negligence or willful misconduct and/or (ii) a party's breach of its confidentiality obligation, the total liability of one party to the other party (and its affiliates) arising out of or in connection with this agreement or the products, whether in contract, tort (including negligence), statute or otherwise, shall, to the maximum extent permitted by applicable law, be limited to the amount of revenues it receives under this agreement."", 'in no event shall either party be liable for any consequential, special or punitive damages or lost profits arising under or relating to this agreement. exc']",Cap On Liability,Cap On Liability,Uncapped Liability,Uncapped Liability,SVM,0.6665,0.4637,103,False
180,"['any assignment in derogation of the foregoing shall be null and void.', ""neither party may<omitted>assign or otherwise transfer this agreement to any person or entity without the\n\n\n\n\n\nother's written consent, such consent not to be unreasonably withheld or delayed; provided that the withholding of consent of assignment to a competitor of the other party shall be deemed reasonable.""]",Anti-Assignment,Anti-Assignment,Anti-Assignment,Anti-Assignment,DistilBERT,0.9343,0.9215,57,False
181,"['ncc may terminate this agreement by giving 60 days written notice to the owner and the licensee.', 'the licensee may terminate this agreement at any time by giving written notice to the owner and ncc.']",Termination For Convenience,Termination For Convenience,Termination For Convenience,Termination For Convenience,DistilBERT,0.839,0.8128,35,False
182,"[""supplier shall not assign this agreement, in whole or in part, to any person without the prior written consent of customer, except to a third party which acquires all, or substantially all, of supplier's business or assets, whether through merger or otherwise."", 'customer shall not assign this agreement, in whole or in part, to any other person without the prior written consent of supplier, not to be unreasonably withheld, conditioned or delayed.', 'the parties agree that the license grant contained in this section 11.3 is personal to supplier only and shall be exercised by supplier only,']",Anti-Assignment,Anti-Assignment,Anti-Assignment,Anti-Assignment,DistilBERT,0.9357,0.9249,96,False
183,"[""detto may not assign any of its rights or delegate any of its obligations hereunder, whether by operation of law or otherwise, without pivx's prior written consent. subject to the foregoing, this agreement shall bind and inure to the benefit of the parties, their respective successors and permitted assigns.""]",Anti-Assignment,Anti-Assignment,Anti-Assignment,Anti-Assignment,DistilBERT,0.9358,0.9257,49,False
184,"[""except as expressly provided in this agreement, bellicum specifically agrees not to, and agrees not to cause any third party to, sell, market, export, transfer, or re-export miltenyi products without miltenyi's express prior written consent."", ""in the event of a supply failure, miltenyi shall grant bellicum's second-source supplier a limited, non-exclusive, non-transferable, one-site production license, without the right to sublicense, under miltenyi's intellectual property rights solely to the extent reasonably necessary to manufacture the affected miltenyi product for the permitted use by bellicum at bellicum's cost."", ""the foregoing license shall be sub-licensable through multiple tiers to licensees of bellicum and to bellicum's and its licensees' respective subcontractors (but not to miltenyi competitors) solely in conjunction with the use of such miltenyi products for the permitted use, provided however that subcontractors shall not have the right to grant sublicenses under miltenyi technology)."", 'for the avoidance of doubt, the license granted to bellicum under this section 10.2 conveys no right to bellicum, its subcontractors or licensees to use miltenyi technology to make, have made, import, have imported, offer for sale and/or sell any miltenyi product.', 'bellicum shall promptly notify miltenyi in writing of any additional licensee contemplating the use of miltenyi product(s) for the manufacture of a bellicum product from time to time, which licensee shall be added to the bellicum product specific module by amendment.', 'at the reasonable written request of bellicum during the term, miltenyi shall enter into a direct supply agreement for miltenyi products with any licensee nominated by bellicum, materially consistent with the terms and conditions of this agreement and the quality agreement (as applicable), except as agreed otherwise in writing between miltenyi and the respective bellicum licensee.', ""to the extent that the rights granted to bellicum hereunder (including bellicum's right to use each miltenyi product for its permitted use) are shared with one or more of its subcontractors or licensees in accordance with the terms hereof, bellicum shall first impose limitations and obligations on such subcontractors or licensees, in writing, that are consistent with the corresponding limitations and obligations imposed on bellicum hereunder, and bellicum shall notify miltenyi of the name and contact information for each such subcontractor or licensee that it shares such rights with, in writing, in accordance with article 16 of this agreement."", 'for clarity, in no event shall any permitted delegation or subcontracting of any activities to be performed in connection with this agreement release a party from any of its limitations or obligations under this agreement.', 'the supply of the miltenyi products hereunder conveys to bellicum the limited, non-exclusive, non-transferable (except as expressly provided herein, including as set forth in article 17) right to use, and to permit its subcontractors and licensees to use the miltenyi products solely for ex vivo cell processing in the manufacture of bellicum products for use in the field in the territory (including for research, pre-clinical, clinical, regulatory and commercial purposes), in accordance with applicable regulatory authority requirements and approvals (including (to the extent applicable) any relevant clinical trial protocol, ind, and/or irb approval pertaining to such bellicum products), in each case consistent with the terms and conditions of this agreement and in accordance with applicable laws (the ""permitted use""). bellicum\'s permitted use of the miltenyi products shall be limited to the designated countries, subject to section 2.3.']",Non-Transferable License,License Grant,License Grant,License Grant,Agreement,0.333,0.1052,551,False
185,['either party shall have the right to terminate this agreement before the end of the term for its convenience upon [***] written notice to the other party (and any such termination shall become effective at the end of such [***]); [***].'],Termination For Convenience,Termination For Convenience,Termination For Convenience,Termination For Convenience,DistilBERT,0.8218,0.7826,41,False
186,"['subject to the terms and conditions of this agreement, channel partner grants to you a royalty-free, non-exclusive, non-transferable, limited license right exercisable solely during the term of this agreement to: (1) reproduce, exactly as provided by channel partner, object code copies of the client software, as needed for distribution to your end users the ipass software; and to install and use the ipass licensed software.']",Non-Transferable License,License Grant,License Grant,License Grant,Agreement,0.3431,0.1007,65,False
187,"['healthgate and the publishers shall enter and maintain in force the escrow agreement for such period as the publishers require.', 'upon acceptance as provided in clause 9.2 healthgate shall deliver into escrow the source code, source listings and information for the proprietary software included in the system in accordance with the terms of the escrow agreement.', 'whenever a new version of the proprietary software is used for the site, healthgate will promptly deposit a new version of the source code and the operational documentation for that version under the same escrow agreement, and notify the publishers in writing that the deposit has been made.', 'if no new version has been deposited in any 6 month period, healthgate will deposit a replacement copy of the then current version of the source code of the proprietary software under the escrow agreement and will notify the publishers in writing.']",Source Code Escrow,Post-Termination Services,Source Code Escrow,Source Code Escrow,SVM,0.1464,0.0305,146,False
188,"['during the term of this agreement and for a period of two (2) years after expiration or termination for any reason of this agreement, maimon agrees not to:<omitted>suggest to, induce or persuade any customer, client, vendor, supplier, employee, consultant or agent of the company to terminate or diminish its relationship with the company.']",No-Solicit Of Employees,No-Solicit Of Employees,No-Solicit Of Customers,No-Solicit Of Customers,SVM,0.1313,0.0188,53,False
189,"[""to the extent that company, by operation of law or otherwise, acquires any right (other than pursuant to this agreement) to any of the product trademarks, any other trademarks of janssen, such copyrights or such other intellectual property rights, company shall assign to janssen all such rights at janssen's cost and will not claim ownership.""]",Ip Ownership Assignment,Ip Ownership Assignment,Ip Ownership Assignment,Ip Ownership Assignment,Agreement,0.4061,0.3085,55,False
